MAE Nivel 1 método final,MRE Nivel 1 Método final,MAE Nivel 1 método experimental,MRE Nivel 1 Método experimental,MAE Nivel 1 método integral,MRE Nivel 1 Método integral,MAE Nivel 1 método picos,MRE Nivel 1 Método picos,MAE Nivel 2 método final,MRE Nivel 2 Método final,MAE Nivel 2 método experimental,MRE Nivel 2 Método experimental,MAE Nivel 2 método integral,MRE Nivel 2 Método integral,MAE Nivel 2 método picos,MRE Nivel 2 Método picos,MAE Nivel 3 método final,MRE Nivel 3 Método final,MAE Nivel 3 método experimental,MRE Nivel 3 Método experimental,MAE Nivel 3 método integral,MRE Nivel 3 Método integral,MAE Nivel 3 método picos,MRE Nivel 3 Método picos,MAE Nivel 4 método final,MRE Nivel 4 Método final,MAE Nivel 4 método experimental,MRE Nivel 4 Método experimental,MAE Nivel 4 método integral,MRE Nivel 4 Método integral,MAE Nivel 4 método picos,MRE Nivel 4 Método picos,MAE total método final,MRE total Método final,MAE total método experimental,MRE total Método experimental,MAE total método integral,MRE total Método integral,MAE total método picos,MRE total Método picos
0.23,11.83,0.23,11.83,0.23,11.83,0.45,27.42,0.7,14.62,0.73,12.86,0.8,13.6,0.83,16.1,4.17,19.39,4.5,22.72,1.78,10.05,4.72,24.94,3.39,12.74,3.39,12.74,1.68,6.23,3.39,12.74,1.85,14.12,1.92,14.19,1.03,10.56,2.05,19.99
0.28,13.89,0.28,13.89,0.28,13.89,1.28,90.74,0.97,18.06,1.19,20.8,1.06,19.22,1.47,26.12,2.57,13.8,2.74,15.32,2.34,13.81,2.74,15.32,3.32,11.54,3.32,11.54,2.59,8.13,3.32,11.54,1.86,14.63,1.98,15.94,1.66,14.27,2.23,30.46
0.18,7.74,0.18,7.74,0.18,7.74,0.57,46.43,0.92,18.57,0.92,14.32,0.96,14.75,1.19,22.1,3.64,18.6,3.89,20.96,1.69,9.75,3.83,20.45,3.24,10.26,3.24,10.26,4.53,13.69,3.24,10.26,2.01,14.42,2.09,14.19,1.57,11.06,2.24,26.03
0.21,9.2,0.21,9.2,0.21,9.2,0.45,28.74,1.14,20.65,1.11,18.36,0.93,16.13,1.25,22.92,4.47,23.05,4.83,25.94,1.83,10.68,4.83,25.94,2.35,8.48,2.35,8.48,3.35,10.94,2.35,8.48,2.05,15.94,2.14,16.15,1.44,11.75,2.24,22.64
0.21,11.11,0.21,11.11,0.21,11.11,0.87,64.53,1.1,21.57,1.05,17.75,1.0,17.22,1.1,20.8,3.74,19.73,3.7,19.23,1.7,9.78,3.7,19.23,3.5,12.3,3.5,12.3,2.96,9.62,3.5,12.3,1.88,15.28,1.86,14.43,1.3,11.69,2.11,34.5
0.38,17.24,0.21,11.49,0.21,11.49,0.76,47.7,1.21,23.04,1.32,22.61,0.95,18.3,1.32,22.64,3.64,21.23,3.73,22.21,2.27,14.4,3.64,21.3,3.5,12.09,3.5,12.09,2.67,8.79,3.5,12.09,1.87,19.25,1.88,17.75,1.31,14.05,2.01,27.38
0.12,6.57,0.12,6.57,0.12,6.57,1.06,80.81,1.11,23.43,0.93,15.87,0.86,15.07,1.75,32.63,3.46,18.97,3.54,19.93,1.64,9.71,3.54,19.93,3.22,11.6,3.22,11.6,2.33,8.02,3.22,11.6,1.78,15.07,1.75,13.34,1.08,9.86,2.25,40.63
0.26,9.26,0.15,5.56,0.15,5.56,0.67,45.06,0.84,16.82,0.9,15.84,0.9,15.84,1.48,28.8,3.86,22.08,3.79,21.68,1.71,9.33,3.79,21.68,2.1,7.56,2.1,7.56,1.9,6.58,2.1,7.56,1.73,14.47,1.7,13.15,1.12,9.72,2.0,26.87
0.23,12.82,0.23,12.82,0.23,12.82,0.54,41.67,1.16,23.02,1.12,19.88,1.06,19.19,1.75,34.13,3.39,19.12,3.46,20.07,1.54,9.1,3.39,19.36,2.67,9.67,2.67,9.67,2.57,8.72,2.67,9.67,1.81,16.9,1.82,16.21,1.28,12.95,2.07,27.3
0.05,4.76,0.05,4.76,0.05,4.76,1.0,75.4,1.23,23.44,1.13,19.49,0.81,15.91,1.74,31.92,4.0,22.7,4.21,24.54,1.86,11.83,4.34,25.92,3.42,12.32,3.42,12.32,2.08,7.21,3.42,12.32,2.28,16.87,2.31,16.23,1.25,10.5,2.71,34.06
0.1,3.23,0.1,3.23,0.1,3.23,0.74,48.39,1.5,28.92,0.82,14.94,0.75,13.92,2.21,43.23,3.6,19.47,3.84,21.76,2.08,12.96,3.68,20.16,3.17,11.09,3.17,11.09,4.65,14.73,3.17,11.09,1.94,15.43,1.82,12.31,1.71,10.77,2.34,32.42
0.38,21.79,0.38,21.79,0.38,21.79,0.85,58.97,1.0,19.22,1.35,20.25,0.91,14.73,1.65,28.76,5.03,30.07,4.97,29.71,1.53,9.64,5.1,31.05,3.29,11.94,3.29,11.94,2.32,7.84,3.29,11.94,2.58,20.98,2.64,21.11,1.33,13.22,2.85,32.34
0.34,14.06,0.25,10.94,0.25,10.94,1.19,73.96,0.96,20.18,1.07,20.08,1.07,20.08,1.39,28.15,4.79,23.76,4.96,25.38,1.86,9.8,4.96,25.38,3.0,10.4,3.0,10.4,2.47,8.07,3.0,10.4,2.14,17.55,2.19,17.01,1.28,12.52,2.55,37.97
0.15,6.41,0.15,6.41,0.15,6.41,0.54,35.9,1.0,17.62,1.16,19.11,1.12,18.77,1.88,32.99,4.14,21.93,4.24,22.69,1.71,9.96,4.24,22.69,3.39,11.62,3.39,11.62,3.32,10.56,3.39,11.62,2.04,14.17,2.1,14.77,1.58,11.89,2.41,26.08
0.21,13.89,0.25,15.28,0.25,15.28,1.33,100.0,0.93,18.65,1.23,21.87,1.23,21.87,1.53,28.83,4.03,22.37,4.09,23.06,2.12,12.27,4.18,23.97,2.9,9.94,2.9,9.94,2.95,9.78,2.9,9.94,2.09,17.1,2.21,18.53,1.61,15.17,2.56,39.76
0.11,6.55,0.11,6.55,0.11,6.55,0.79,51.79,1.03,18.78,1.14,17.1,0.91,14.44,1.54,26.62,3.25,17.19,3.46,19.51,2.04,12.08,3.39,18.79,1.94,7.11,1.94,7.11,2.69,8.8,1.94,7.11,1.5,13.42,1.6,13.48,1.26,10.92,1.89,28.24
0.18,6.55,0.18,6.55,0.18,6.55,0.89,57.74,1.3,22.92,1.3,20.27,0.85,14.84,1.97,34.47,3.52,18.62,3.86,21.74,2.41,14.03,3.62,19.55,3.47,12.42,3.47,12.42,2.18,7.51,3.47,12.42,1.95,15.8,2.05,15.83,1.31,11.28,2.37,33.01
0.48,17.39,0.43,15.94,0.43,15.94,0.96,49.28,1.16,21.37,1.3,19.81,0.97,16.21,1.97,33.63,4.33,23.28,4.25,22.56,1.79,10.12,4.25,22.56,3.26,11.7,3.26,11.7,2.22,7.79,3.26,11.7,2.18,18.86,2.2,17.85,1.31,12.98,2.54,29.79
0.42,16.67,0.33,13.89,0.33,13.89,0.58,41.67,0.79,16.2,1.0,18.36,0.97,17.98,1.31,25.82,4.11,23.17,4.08,23.02,1.84,10.93,4.05,22.76,4.25,15.12,4.25,15.12,3.12,10.2,4.25,15.12,2.4,18.62,2.43,18.53,1.46,13.39,2.56,26.69
0.03,1.15,0.03,1.15,0.03,1.15,0.76,56.32,0.97,18.77,0.94,16.24,0.97,16.58,0.7,12.92,4.0,21.47,4.04,21.91,1.64,9.67,4.07,22.27,3.18,10.98,3.18,10.98,3.29,10.03,3.18,10.98,1.86,13.46,1.86,12.8,1.26,9.55,1.99,26.82
0.19,13.89,0.22,14.81,0.22,14.81,1.03,81.48,1.34,27.27,0.83,15.97,0.79,15.37,1.62,31.37,3.44,19.17,3.56,20.23,2.06,12.31,3.56,20.23,3.04,10.77,3.04,10.77,3.17,10.6,3.04,10.77,1.69,17.7,1.58,15.13,1.35,13.6,2.07,41.73
0.3,10.49,0.3,10.49,0.3,10.49,0.96,66.05,1.08,20.68,0.58,8.45,0.54,8.03,1.35,24.71,4.9,27.83,4.62,25.72,1.69,9.78,4.62,25.72,3.0,11.06,3.0,11.06,2.56,8.71,3.0,11.06,2.36,17.8,2.17,14.26,1.26,9.28,2.52,32.22
0.31,13.89,0.22,11.11,0.22,11.11,0.72,48.15,1.03,19.25,1.22,19.73,1.22,19.73,1.97,33.76,5.17,28.33,4.83,25.97,1.88,10.8,4.83,25.97,3.33,11.99,3.33,11.99,2.67,8.97,3.33,11.99,2.04,18.46,1.99,17.14,1.23,13.32,2.38,33.8
0.24,12.25,0.21,11.27,0.21,11.27,0.91,74.51,1.28,22.14,1.19,18.55,1.12,17.85,1.53,26.19,4.23,24.54,4.31,25.31,2.0,11.86,4.12,23.39,3.33,11.76,3.33,11.76,2.2,7.32,3.33,11.76,1.95,18.13,1.93,16.93,1.2,12.83,2.21,38.84
