GT,Estimado,Intervalo
20,19,0.05
20,19,0.1
20,19,0.15
20,20,0.2
20,20,0.25
20,19,0.3
20,19,0.35
21,20,0.4
21,21,0.45
21,22,0.5
21,21,0.55
21,21,0.6
20,21,0.65
20,20,0.7
20,21,0.75
20,20,0.8
20,20,0.85
21,21,0.9
21,23,0.95
21,21,1.0
21,23,1.05
21,23,1.1
21,24,1.15
20,22,1.2
20,22,1.25
20,21,1.3
20,21,1.35
20,20,1.4
20,20,1.45
20,20,1.5
20,19,1.55
20,19,1.6
20,19,1.65
20,19,1.7
20,19,1.75
20,20,1.8
21,20,1.85
20,20,1.9
20,19,1.95
21,19,2.0
21,20,2.05
21,20,2.1
20,20,2.15
20,21,2.2
20,21,2.25
20,21,2.3
20,21,2.35
20,20,2.4
20,20,2.45
20,21,2.5
20,20,2.55
20,21,2.6
20,22,2.65
20,22,2.7
20,22,2.75
20,21,2.8
20,21,2.85
20,21,2.9
20,20,2.95
20,20,3.0
20,20,3.05
20,20,3.1
20,21,3.15
20,21,3.2
20,20,3.25
20,20,3.3
20,21,3.35
20,20,3.4
20,21,3.45
20,21,3.5
20,21,3.55
20,22,3.6
20,22,3.65
20,20,3.7
20,21,3.75
20,21,3.8
20,21,3.85
20,22,3.9
21,21,3.95
21,20,4.0
21,20,4.05
21,21,4.1
21,20,4.15
21,22,4.2
22,22,4.25
22,22,4.3
22,22,4.35
21,21,4.4
21,22,4.45
21,22,4.5
21,22,4.55
21,23,4.6
21,22,4.65
21,23,4.7
21,23,4.75
20,22,4.8
20,23,4.85
20,22,4.9
20,23,4.95
20,22,5.0
20,22,5.05
20,23,5.1
20,23,5.15
20,22,5.2
20,22,5.25
20,22,5.3
20,22,5.35
20,22,5.4
20,22,5.45
20,22,5.5
20,21,5.55
20,21,5.6
20,21,5.65
20,21,5.7
20,21,5.75
20,21,5.8
20,21,5.85
20,21,5.9
20,22,5.95
20,22,6.01
20,23,6.06
20,22,6.11
20,22,6.16
20,21,6.21
21,22,6.26
21,23,6.31
21,22,6.36
21,23,6.41
21,22,6.46
21,23,6.51
21,23,6.56
21,22,6.61
21,23,6.66
21,23,6.71
21,22,6.76
21,23,6.81
21,22,6.86
21,22,6.91
21,22,6.96
21,23,7.01
21,22,7.06
21,22,7.11
21,22,7.16
21,23,7.21
21,23,7.26
21,23,7.31
21,24,7.36
21,24,7.41
21,22,7.46
21,23,7.51
22,23,7.56
22,23,7.61
22,23,7.66
22,23,7.71
22,23,7.76
22,22,7.81
22,24,7.86
22,23,7.91
21,23,7.96
21,23,8.01
21,24,8.06
21,24,8.11
21,24,8.16
21,22,8.21
21,23,8.26
21,22,8.31
21,22,8.36
21,22,8.41
21,22,8.46
21,22,8.51
21,23,8.56
21,22,8.61
21,22,8.66
21,22,8.71
21,22,8.76
21,22,8.81
21,22,8.86
21,23,8.91
21,22,8.96
21,21,9.01
21,22,9.06
21,22,9.11
21,21,9.16
21,23,9.21
20,23,9.26
20,23,9.31
20,22,9.36
20,22,9.41
20,23,9.46
20,22,9.51
20,21,9.56
20,21,9.61
20,22,9.66
20,22,9.71
20,22,9.76
20,21,9.81
20,21,9.86
20,22,9.91
20,21,9.96
20,23,10.01
20,24,10.06
20,24,10.11
20,24,10.16
20,22,10.21
20,23,10.26
20,22,10.31
20,22,10.36
20,22,10.41
20,23,10.46
20,23,10.51
20,22,10.56
20,21,10.61
20,21,10.66
20,21,10.71
20,21,10.76
20,21,10.81
20,20,10.86
20,21,10.91
20,20,10.96
20,20,11.01
20,21,11.06
20,22,11.11
21,22,11.16
21,22,11.21
21,22,11.26
21,22,11.31
21,22,11.36
20,22,11.41
20,22,11.46
20,22,11.51
21,22,11.56
21,23,11.61
20,22,11.66
21,23,11.71
21,23,11.76
21,24,11.81
21,23,11.86
21,23,11.91
21,24,11.96
21,24,12.01
21,24,12.06
21,23,12.11
21,24,12.16
21,24,12.21
21,24,12.26
20,23,12.31
20,24,12.36
20,23,12.41
20,22,12.46
21,22,12.51
21,23,12.56
21,23,12.61
21,24,12.66
21,23,12.71
21,23,12.76
21,23,12.81
21,24,12.86
21,22,12.91
20,22,12.96
20,22,13.01
20,22,13.06
20,22,13.11
21,23,13.16
21,24,13.21
21,24,13.26
20,23,13.31
20,23,13.36
20,22,13.41
20,22,13.46
20,22,13.51
20,22,13.56
20,22,13.61
20,22,13.66
20,22,13.71
20,23,13.76
20,23,13.81
20,23,13.86
20,23,13.91
20,23,13.96
20,23,14.01
20,23,14.06
20,22,14.11
20,23,14.16
20,23,14.21
20,23,14.26
20,22,14.31
20,22,14.36
20,22,14.41
20,22,14.46
20,22,14.51
20,22,14.56
20,22,14.61
21,22,14.66
22,23,14.71
22,23,14.76
22,22,14.81
22,23,14.86
22,22,14.91
22,22,14.96
22,22,15.01
22,23,15.06
21,22,15.11
21,22,15.16
21,22,15.21
21,21,15.26
21,21,15.31
21,21,15.36
21,21,15.41
21,22,15.46
21,22,15.51
22,23,15.56
22,23,15.61
22,23,15.66
22,23,15.71
23,23,15.76
23,23,15.81
23,23,15.86
22,23,15.91
22,24,15.96
22,24,16.01
22,23,16.06
22,23,16.11
22,24,16.16
22,23,16.21
22,23,16.26
22,23,16.31
22,24,16.36
22,24,16.41
22,23,16.46
22,22,16.51
22,23,16.56
22,22,16.61
21,22,16.66
22,23,16.71
22,22,16.76
22,22,16.81
22,22,16.86
21,21,16.91
21,22,16.96
21,22,17.01
21,22,17.06
21,23,17.11
21,23,17.16
21,23,17.21
21,24,17.26
21,22,17.31
21,22,17.36
21,22,17.41
21,22,17.46
21,22,17.51
22,22,17.56
21,22,17.61
21,23,17.66
21,22,17.71
21,23,17.76
21,23,17.81
21,23,17.86
21,22,17.91
21,23,17.96
23,23,18.02
22,23,18.07
22,23,18.12
22,23,18.17
22,23,18.22
22,24,18.27
22,21,18.32
22,22,18.37
22,22,18.42
22,23,18.47
22,21,18.52
22,21,18.57
22,21,18.62
21,23,18.67
21,20,18.72
20,22,18.77
20,21,18.82
20,21,18.87
20,21,18.92
20,22,18.97
20,22,19.02
20,22,19.07
20,23,19.12
20,23,19.17
20,22,19.22
20,22,19.27
20,22,19.32
20,22,19.37
20,22,19.42
20,22,19.47
20,23,19.52
20,23,19.57
20,23,19.62
20,22,19.67
19,22,19.72
19,21,19.77
19,20,19.82
19,20,19.87
19,22,19.92
19,20,19.97
19,20,20.02
19,20,20.07
19,20,20.12
19,20,20.17
19,20,20.22
18,19,20.27
18,19,20.32
18,20,20.37
18,20,20.42
18,19,20.47
18,20,20.52
18,21,20.57
18,20,20.62
18,20,20.67
18,21,20.72
18,21,20.77
18,20,20.82
18,22,20.87
19,23,20.92
19,23,20.97
19,23,21.02
19,23,21.07
19,22,21.12
19,23,21.17
19,22,21.22
19,23,21.27
19,21,21.32
19,21,21.37
19,21,21.42
19,21,21.47
19,21,21.52
19,21,21.57
19,22,21.62
19,22,21.67
19,22,21.72
19,22,21.77
19,21,21.82
19,21,21.87
20,21,21.92
20,21,21.97
20,22,22.02
20,21,22.07
20,20,22.12
20,21,22.17
21,22,22.22
21,22,22.27
21,22,22.32
22,23,22.37
22,23,22.42
22,22,22.47
22,22,22.52
22,23,22.57
21,21,22.62
21,22,22.67
21,21,22.72
22,22,22.77
22,22,22.82
22,22,22.87
22,22,22.92
21,23,22.97
21,22,23.02
21,21,23.07
21,20,23.12
21,21,23.17
21,21,23.22
21,22,23.27
20,21,23.32
20,21,23.37
20,20,23.42
20,22,23.47
20,22,23.52
21,22,23.57
21,22,23.62
21,23,23.67
21,23,23.72
21,22,23.77
21,21,23.82
21,22,23.87
21,21,23.92
21,22,23.97
19,21,24.02
20,23,24.07
20,22,24.12
20,21,24.17
20,21,24.22
20,21,24.27
20,21,24.32
20,20,24.37
20,20,24.42
20,22,24.47
20,22,24.52
19,22,24.57
19,21,24.62
19,21,24.67
19,22,24.72
19,21,24.77
19,21,24.82
19,22,24.87
19,21,24.92
19,21,24.97
19,22,25.02
19,21,25.07
19,22,25.12
19,21,25.17
20,21,25.22
19,23,25.27
19,23,25.32
19,22,25.37
19,22,25.42
19,22,25.47
19,21,25.52
19,20,25.57
19,21,25.62
19,22,25.67
19,22,25.72
19,22,25.77
19,22,25.82
19,23,25.87
19,22,25.92
20,23,25.97
20,21,26.02
20,22,26.07
20,22,26.12
20,22,26.17
20,22,26.22
20,21,26.27
20,22,26.32
20,22,26.37
20,22,26.42
19,21,26.47
19,21,26.52
19,21,26.57
19,20,26.62
19,21,26.67
19,20,26.72
19,20,26.77
19,20,26.82
19,20,26.87
19,21,26.92
19,20,26.97
19,20,27.02
19,21,27.07
19,21,27.12
19,21,27.17
19,20,27.22
19,20,27.27
19,21,27.32
19,22,27.37
19,21,27.42
19,21,27.47
19,21,27.52
19,22,27.57
19,22,27.62
20,22,27.67
20,22,27.72
20,22,27.77
20,21,27.82
20,22,27.87
20,22,27.92
20,22,27.97
21,21,28.02
21,22,28.07
21,21,28.12
22,21,28.17
22,23,28.22
22,23,28.27
22,22,28.32
22,23,28.37
21,23,28.42
21,22,28.47
21,22,28.52
21,22,28.57
21,22,28.62
21,22,28.67
21,21,28.72
21,22,28.77
21,20,28.82
21,21,28.87
21,22,28.92
21,21,28.97
21,22,29.02
22,22,29.07
22,22,29.12
22,21,29.17
22,22,29.22
22,22,29.27
22,22,29.32
22,23,29.37
22,23,29.42
22,23,29.47
22,23,29.52
21,23,29.57
21,23,29.62
21,23,29.67
20,23,29.72
20,23,29.77
20,22,29.82
20,23,29.87
20,23,29.92
20,23,29.97
20,23,30.03
20,23,30.08
20,23,30.13
20,24,30.18
20,24,30.23
20,24,30.28
21,23,30.33
21,23,30.38
21,22,30.43
21,23,30.48
21,23,30.53
21,23,30.58
21,23,30.63
21,23,30.68
21,23,30.73
21,23,30.78
21,22,30.83
21,22,30.88
21,21,30.93
21,21,30.98
21,21,31.03
21,21,31.08
21,21,31.13
21,21,31.18
21,21,31.23
21,21,31.28
21,21,31.33
20,21,31.38
21,20,31.43
21,20,31.48
21,20,31.53
21,21,31.58
21,21,31.63
21,22,31.68
21,23,31.73
21,22,31.78
21,22,31.83
21,22,31.88
21,23,31.93
20,23,31.98
21,22,32.03
21,22,32.08
20,22,32.13
20,21,32.18
20,20,32.23
20,22,32.28
20,21,32.33
20,22,32.38
20,21,32.43
20,22,32.48
20,22,32.53
20,22,32.58
20,22,32.63
20,23,32.68
20,23,32.73
20,23,32.78
20,22,32.83
20,22,32.88
20,22,32.93
20,22,32.98
19,22,33.03
19,22,33.08
19,23,33.13
19,22,33.18
19,22,33.23
19,22,33.28
19,21,33.33
19,21,33.38
19,22,33.43
19,21,33.48
19,21,33.53
19,22,33.58
19,21,33.63
19,22,33.68
19,22,33.73
19,23,33.78
19,23,33.83
19,23,33.88
19,23,33.93
19,22,33.98
19,22,34.03
19,21,34.08
20,21,34.13
20,21,34.18
21,21,34.23
21,22,34.28
21,22,34.33
21,22,34.38
22,23,34.43
22,23,34.48
22,23,34.53
21,22,34.58
21,25,34.63
21,24,34.68
21,23,34.73
21,23,34.78
22,23,34.83
22,23,34.88
21,21,34.93
21,22,34.98
20,22,35.03
20,22,35.08
20,22,35.13
20,22,35.18
20,22,35.23
20,23,35.28
20,23,35.33
20,23,35.38
20,22,35.43
20,22,35.48
20,21,35.53
20,22,35.58
20,21,35.63
20,21,35.68
20,21,35.73
22,23,35.78
22,24,35.83
22,23,35.88
22,21,35.93
21,22,35.98
21,23,36.03
21,23,36.08
21,23,36.13
21,23,36.18
21,23,36.23
21,22,36.28
21,23,36.33
21,23,36.38
21,23,36.43
21,23,36.48
21,22,36.53
21,22,36.58
21,22,36.63
21,21,36.68
21,22,36.73
21,22,36.78
21,22,36.83
21,23,36.88
22,22,36.93
22,22,36.98
22,22,37.03
22,22,37.08
23,22,37.13
23,21,37.18
22,22,37.23
22,22,37.28
22,21,37.33
22,22,37.38
21,21,37.43
21,22,37.48
20,22,37.53
20,22,37.58
20,22,37.63
20,22,37.68
20,22,37.73
20,22,37.78
20,22,37.83
20,22,37.88
20,21,37.93
20,22,37.98
20,22,38.03
20,22,38.08
20,22,38.13
20,21,38.18
20,21,38.23
20,22,38.28
19,21,38.33
19,21,38.38
19,22,38.43
19,21,38.48
19,21,38.53
19,21,38.58
19,21,38.63
19,21,38.68
19,20,38.73
19,20,38.78
19,20,38.83
19,20,38.88
19,20,38.93
19,21,38.98
19,21,39.03
19,21,39.08
19,21,39.13
19,21,39.18
19,21,39.23
19,21,39.28
19,20,39.33
19,21,39.38
19,21,39.43
19,22,39.48
19,22,39.53
19,22,39.58
19,21,39.63
19,21,39.68
19,20,39.73
19,20,39.78
19,21,39.83
19,22,39.88
19,22,39.93
20,22,39.98
20,22,40.03
20,23,40.08
20,21,40.13
20,21,40.18
20,21,40.23
20,22,40.28
20,22,40.33
20,21,40.38
20,21,40.43
20,22,40.48
20,21,40.53
21,21,40.58
21,22,40.63
21,22,40.68
21,22,40.73
20,23,40.78
20,22,40.83
20,22,40.88
19,22,40.93
19,21,40.98
19,21,41.03
19,22,41.08
19,22,41.13
19,22,41.18
19,23,41.23
19,23,41.28
19,22,41.33
19,23,41.38
19,21,41.43
18,22,41.48
19,22,41.53
19,22,41.58
19,22,41.63
19,22,41.68
19,21,41.73
19,21,41.78
19,20,41.83
19,20,41.88
19,21,41.93
19,21,41.98
19,21,42.04
19,21,42.09
19,20,42.14
19,21,42.19
19,21,42.24
19,20,42.29
19,19,42.34
19,20,42.39
19,19,42.44
19,20,42.49
19,21,42.54
19,21,42.59
19,21,42.64
20,22,42.69
20,21,42.74
20,22,42.79
20,21,42.84
20,21,42.89
20,21,42.94
20,21,42.99
20,21,43.04
19,22,43.09
19,22,43.14
19,21,43.19
20,21,43.24
20,22,43.29
20,21,43.34
19,21,43.39
19,21,43.44
19,21,43.49
19,21,43.54
19,21,43.59
19,21,43.64
19,21,43.69
19,20,43.74
19,21,43.79
19,21,43.84
19,21,43.89
19,21,43.94
19,22,43.99
19,21,44.04
19,21,44.09
19,21,44.14
19,21,44.19
19,21,44.24
19,21,44.29
19,21,44.34
19,21,44.39
19,21,44.44
19,21,44.49
19,22,44.54
19,22,44.59
19,22,44.64
19,21,44.69
19,21,44.74
19,21,44.79
19,21,44.84
19,21,44.89
19,23,44.94
20,23,44.99
20,22,45.04
20,22,45.09
20,22,45.14
20,23,45.19
20,23,45.24
20,23,45.29
20,23,45.34
20,23,45.39
20,23,45.44
20,23,45.49
20,22,45.54
20,22,45.59
19,22,45.64
19,22,45.69
19,21,45.74
19,22,45.79
19,22,45.84
19,21,45.89
20,22,45.94
20,22,45.99
20,21,46.04
20,21,46.09
20,22,46.14
20,23,46.19
20,23,46.24
20,23,46.29
20,23,46.34
20,22,46.39
20,22,46.44
20,22,46.49
20,22,46.54
20,23,46.59
20,22,46.64
20,23,46.69
20,22,46.74
20,23,46.79
20,22,46.84
20,22,46.89
20,23,46.94
20,23,46.99
20,22,47.04
20,23,47.09
20,23,47.14
20,23,47.19
20,23,47.24
20,23,47.29
20,24,47.34
20,24,47.39
20,23,47.44
20,24,47.49
20,23,47.54
20,24,47.59
20,23,47.64
20,23,47.69
20,23,47.74
20,23,47.79
20,23,47.84
20,23,47.89
20,24,47.94
20,24,47.99
20,24,48.04
20,23,48.09
20,23,48.14
20,23,48.19
20,24,48.24
20,24,48.29
20,23,48.34
20,23,48.39
20,23,48.44
20,23,48.49
20,24,48.54
20,24,48.59
20,23,48.64
20,23,48.69
20,23,48.74
20,23,48.79
20,22,48.84
20,23,48.89
20,23,48.94
20,24,48.99
20,24,49.04
21,24,49.09
21,23,49.14
21,23,49.19
21,24,49.24
21,24,49.29
21,23,49.34
21,23,49.39
20,24,49.44
20,24,49.49
21,24,49.54
