GT,Estimado,Intervalo
9,11,0.05
9,11,0.1
9,10,0.15
9,10,0.2
9,10,0.25
9,10,0.3
9,9,0.35
9,9,0.4
9,9,0.45
9,9,0.5
9,9,0.55
9,9,0.6
9,10,0.65
9,10,0.7
9,10,0.75
9,9,0.8
9,9,0.85
9,9,0.9
9,9,0.95
9,9,1.0
9,10,1.05
9,10,1.1
9,10,1.15
9,10,1.2
9,10,1.25
9,10,1.3
9,10,1.35
9,10,1.4
9,10,1.45
9,10,1.5
9,10,1.55
9,10,1.6
9,10,1.65
9,10,1.7
9,10,1.75
9,10,1.8
9,10,1.85
9,10,1.9
9,10,1.95
9,9,2.0
9,9,2.05
9,9,2.1
9,9,2.15
9,9,2.2
9,9,2.25
9,10,2.3
9,9,2.35
9,9,2.4
9,9,2.45
9,9,2.5
9,9,2.55
9,9,2.6
9,9,2.65
9,8,2.7
9,9,2.75
9,9,2.8
9,9,2.85
9,9,2.9
9,9,2.95
9,9,3.0
9,9,3.05
9,9,3.1
9,9,3.15
9,9,3.2
9,9,3.25
9,9,3.3
9,9,3.35
9,9,3.4
9,9,3.45
9,9,3.5
9,9,3.55
9,9,3.6
9,9,3.65
9,9,3.7
9,9,3.75
9,9,3.8
9,9,3.85
9,9,3.9
9,9,3.95
9,9,4.0
9,9,4.05
9,9,4.1
9,9,4.15
9,9,4.2
9,9,4.25
9,9,4.3
9,8,4.35
9,9,4.4
9,9,4.45
9,9,4.5
9,9,4.55
9,9,4.6
9,10,4.65
9,9,4.7
9,9,4.75
9,10,4.8
9,10,4.85
9,10,4.9
9,9,4.95
9,9,5.0
9,9,5.05
9,9,5.1
9,9,5.15
9,9,5.2
9,9,5.25
9,9,5.3
9,9,5.35
9,9,5.4
9,9,5.45
9,9,5.5
9,10,5.55
9,10,5.6
9,9,5.65
9,10,5.7
9,10,5.75
9,9,5.8
9,9,5.85
9,9,5.9
9,9,5.95
9,9,6.01
9,9,6.06
9,9,6.11
9,9,6.16
9,9,6.21
9,9,6.26
9,9,6.31
9,9,6.36
9,9,6.41
9,9,6.46
9,9,6.51
9,8,6.56
9,9,6.61
9,9,6.66
9,8,6.71
9,8,6.76
9,8,6.81
9,9,6.86
9,8,6.91
9,8,6.96
9,8,7.01
9,8,7.06
9,8,7.11
9,8,7.16
9,9,7.21
9,8,7.26
9,9,7.31
9,9,7.36
9,9,7.41
9,9,7.46
9,9,7.51
9,8,7.56
9,8,7.61
9,7,7.66
9,8,7.71
9,8,7.76
9,8,7.81
9,8,7.86
9,7,7.91
9,7,7.96
9,7,8.01
9,7,8.06
9,6,8.11
9,7,8.16
9,7,8.21
8,7,8.26
8,7,8.31
8,7,8.36
8,6,8.41
8,7,8.46
8,6,8.51
8,7,8.56
8,7,8.61
8,7,8.66
8,7,8.71
8,8,8.76
8,7,8.81
8,7,8.86
8,6,8.91
9,7,8.96
9,6,9.01
9,6,9.06
9,6,9.11
9,6,9.16
9,6,9.21
9,6,9.26
9,7,9.31
9,7,9.36
9,7,9.41
9,7,9.46
9,7,9.51
9,6,9.56
9,6,9.61
9,8,9.66
9,8,9.71
9,7,9.76
9,8,9.81
9,8,9.86
9,8,9.91
9,8,9.96
9,7,10.01
9,8,10.06
9,7,10.11
9,8,10.16
9,8,10.21
9,9,10.26
9,7,10.31
9,8,10.36
9,8,10.41
10,7,10.46
10,7,10.51
10,7,10.56
10,8,10.61
10,7,10.66
10,7,10.71
10,8,10.76
9,8,10.81
9,9,10.86
9,7,10.91
9,8,10.96
9,8,11.01
9,8,11.06
10,8,11.11
10,7,11.16
10,8,11.21
10,7,11.26
10,8,11.31
10,9,11.36
10,9,11.41
10,8,11.46
10,9,11.51
10,9,11.56
9,7,11.61
9,7,11.66
9,7,11.71
9,7,11.76
9,7,11.81
9,6,11.86
9,7,11.91
9,6,11.96
9,6,12.01
9,6,12.06
9,7,12.11
9,6,12.16
9,6,12.21
9,6,12.26
9,7,12.31
9,6,12.36
9,6,12.41
10,7,12.46
10,7,12.51
10,8,12.56
10,8,12.61
10,8,12.66
10,8,12.71
10,9,12.76
10,9,12.81
10,9,12.86
10,9,12.91
10,10,12.96
10,9,13.01
10,8,13.06
10,8,13.11
10,8,13.16
9,8,13.21
9,7,13.26
9,6,13.31
9,6,13.36
9,6,13.41
9,6,13.46
9,7,13.51
9,8,13.56
9,7,13.61
9,8,13.66
9,8,13.71
9,7,13.76
10,8,13.81
10,8,13.86
10,7,13.91
10,8,13.96
10,9,14.01
10,9,14.06
10,9,14.11
9,8,14.16
9,9,14.21
9,8,14.26
9,7,14.31
9,6,14.36
9,6,14.41
8,6,14.46
8,7,14.51
9,9,14.56
8,8,14.61
8,8,14.66
8,8,14.71
8,7,14.76
8,7,14.81
8,7,14.86
8,7,14.91
8,7,14.96
8,8,15.01
8,8,15.06
8,8,15.11
9,8,15.16
9,7,15.21
9,7,15.26
9,8,15.31
9,8,15.36
9,7,15.41
10,7,15.46
9,7,15.51
9,7,15.56
11,9,15.61
10,9,15.66
10,8,15.71
10,8,15.76
9,10,15.81
9,8,15.86
11,8,15.91
11,8,15.96
10,8,16.01
10,8,16.06
10,8,16.11
10,7,16.16
10,8,16.21
10,8,16.26
10,8,16.31
10,8,16.36
10,9,16.41
10,9,16.46
10,9,16.51
11,8,16.56
11,8,16.61
11,8,16.66
11,8,16.71
11,7,16.76
11,8,16.81
10,8,16.86
10,9,16.91
10,9,16.96
10,8,17.01
10,7,17.06
10,8,17.11
10,8,17.16
10,9,17.21
10,8,17.26
10,8,17.31
11,10,17.36
11,10,17.41
11,10,17.46
12,11,17.51
12,10,17.56
12,10,17.61
11,9,17.66
11,9,17.71
12,10,17.76
12,11,17.81
12,10,17.86
12,11,17.91
12,10,17.96
12,10,18.02
12,10,18.07
12,10,18.12
11,8,18.17
10,7,18.22
10,7,18.27
10,7,18.32
10,8,18.37
10,8,18.42
9,8,18.47
9,8,18.52
9,5,18.57
8,6,18.62
8,7,18.67
10,7,18.72
9,7,18.77
9,8,18.82
10,8,18.87
10,8,18.92
11,8,18.97
13,8,19.02
12,7,19.07
12,7,19.12
11,9,19.17
10,10,19.22
10,9,19.27
10,8,19.32
9,7,19.37
7,6,19.42
6,6,19.47
7,6,19.52
7,6,19.57
6,5,19.62
6,4,19.67
6,5,19.72
7,5,19.77
7,6,19.82
7,7,19.87
6,6,19.92
6,6,19.97
6,5,20.02
6,5,20.07
6,5,20.12
6,5,20.17
6,4,20.22
6,4,20.27
7,5,20.32
6,5,20.37
6,5,20.42
7,6,20.47
7,5,20.52
7,4,20.57
7,5,20.62
7,5,20.67
7,5,20.72
7,6,20.77
7,6,20.82
7,6,20.87
7,7,20.92
8,6,20.97
8,5,21.02
8,5,21.07
8,6,21.12
8,5,21.17
7,5,21.22
7,5,21.27
7,6,21.32
7,5,21.37
7,6,21.42
7,6,21.47
7,5,21.52
7,4,21.57
7,4,21.62
6,5,21.67
7,4,21.72
6,5,21.77
6,4,21.82
6,4,21.87
6,4,21.92
7,5,21.97
7,5,22.02
8,6,22.07
8,6,22.12
8,6,22.17
8,6,22.22
8,6,22.27
7,6,22.32
7,6,22.37
7,6,22.42
7,6,22.47
7,6,22.52
7,6,22.57
7,5,22.62
7,5,22.67
7,5,22.72
7,4,22.77
7,5,22.82
7,5,22.87
7,5,22.92
7,4,22.97
7,4,23.02
7,5,23.07
7,4,23.12
5,4,23.17
5,4,23.22
5,4,23.27
5,5,23.32
5,5,23.37
5,5,23.42
5,5,23.47
5,5,23.52
6,5,23.57
6,4,23.62
6,4,23.67
6,5,23.72
6,6,23.77
6,5,23.82
6,5,23.87
6,5,23.92
5,6,23.97
5,5,24.02
5,5,24.07
5,6,24.12
5,6,24.17
5,6,24.22
5,6,24.27
6,5,24.32
5,6,24.37
6,5,24.42
6,5,24.47
5,5,24.52
5,5,24.57
5,5,24.62
5,5,24.67
5,6,24.72
5,6,24.77
5,6,24.82
5,4,24.87
5,4,24.92
5,4,24.97
5,4,25.02
5,5,25.07
5,5,25.12
5,5,25.17
5,6,25.22
5,6,25.27
6,6,25.32
6,7,25.37
6,7,25.42
6,7,25.47
6,7,25.52
6,7,25.57
7,6,25.62
7,6,25.67
7,7,25.72
7,7,25.77
7,7,25.82
7,7,25.87
7,7,25.92
7,8,25.97
7,7,26.02
7,7,26.07
7,7,26.12
7,7,26.17
7,6,26.22
7,6,26.27
7,6,26.32
7,5,26.37
7,5,26.42
7,5,26.47
7,6,26.52
7,6,26.57
7,6,26.62
7,5,26.67
7,6,26.72
7,5,26.77
8,5,26.82
8,4,26.87
8,4,26.92
8,4,26.97
7,5,27.02
6,4,27.07
6,5,27.12
5,5,27.17
5,4,27.22
5,4,27.27
5,4,27.32
5,3,27.37
5,6,27.42
5,5,27.47
6,4,27.52
6,4,27.57
6,4,27.62
6,4,27.67
6,4,27.72
6,4,27.77
7,4,27.82
7,4,27.87
7,4,27.92
7,4,27.97
7,5,28.02
7,5,28.07
8,5,28.12
8,5,28.17
8,4,28.22
8,7,28.27
8,7,28.32
8,6,28.37
8,7,28.42
8,7,28.47
8,7,28.52
8,7,28.57
8,7,28.62
8,8,28.67
8,7,28.72
8,8,28.77
8,7,28.82
8,7,28.87
9,8,28.92
9,7,28.97
9,8,29.02
8,6,29.07
7,7,29.12
7,8,29.17
7,7,29.22
7,6,29.27
7,8,29.32
7,8,29.37
7,7,29.42
8,7,29.47
9,8,29.52
9,7,29.57
9,7,29.62
9,6,29.67
9,7,29.72
9,8,29.77
9,7,29.82
9,6,29.87
9,8,29.92
9,9,29.97
9,8,30.03
9,8,30.08
10,10,30.13
10,10,30.18
10,10,30.23
10,10,30.28
11,9,30.33
11,9,30.38
11,8,30.43
11,9,30.48
10,9,30.53
10,9,30.58
10,9,30.63
11,8,30.68
11,9,30.73
11,8,30.78
11,9,30.83
11,9,30.88
11,9,30.93
12,9,30.98
12,10,31.03
12,10,31.08
12,9,31.13
11,8,31.18
11,9,31.23
11,10,31.28
11,9,31.33
10,9,31.38
10,10,31.43
10,8,31.48
9,8,31.53
10,8,31.58
10,8,31.63
10,7,31.68
8,7,31.73
8,7,31.78
8,7,31.83
9,8,31.88
9,9,31.93
9,9,31.98
9,9,32.03
9,8,32.08
10,8,32.13
9,8,32.18
9,8,32.23
9,7,32.28
9,8,32.33
9,8,32.38
